informe,comunidad autónoma,dosis Pfizer,dosis Pfizer pediátrica,dosis Moderna,dosis AstraZeneca,dosis Janssen,dosis entregadas,dosis administradas,% sobre entregadas,personas con al menos una dosis,personas con pauta completa,% pautas incompletas,personas con dosis adicionales,última vacuna registrada
10/02/2021,C. Valenciana,207.280,,15.700,20.600,,243.580,201.983,"82,9%",,89.522,,,09/02/2021
10/02/2021,Extremadura,74.375,,5.400,4.300,,84.075,71.334,"84,8%",,28.790,,,09/02/2021
10/02/2021,Galicia,128.815,,9.800,11.000,,149.615,114.462,"76,5%",,54.604,,,09/02/2021
10/02/2021,La Rioja,19.955,,1.400,1.300,,22.655,18.970,"83,7%",,7.997,,,09/02/2021
10/02/2021,Madrid,333.375,,25.400,27.700,,386.475,294.615,"76,2%",,115.535,,,09/02/2021
10/02/2021,Murcia,87.305,,6.600,6.200,,100.105,78.988,"78,9%",,27.799,,,09/02/2021
10/02/2021,Navarra,39.345,,2.900,2.700,,44.945,36.677,"81,6%",,13.286,,,09/02/2021
10/02/2021,País Vasco,107.460,,7.900,9.100,,124.460,75.634,"60,8%",,26.299,,,09/02/2021
10/02/2021,Ceuta,4.320,,400,400,,5.120,2.277,"44,5%",,963,,,08/02/2021
10/02/2021,Melilla,3.150,,400,400,,3.950,2.399,"60,7%",,1.080,,,08/02/2021
10/02/2021,Totales,2.528.955,,192.000,193.800,,2.914.755,2.233.249,"76,6%",,889.683,,,
11/02/2021,Andalucía,475.110,,36.300,34.500,,545.910,415.015,"76,0%",,168.087,,,10/02/2021
11/02/2021,Aragón,81.045,,6.300,5.400,,92.745,84.487,"91,1%",,32.986,,,10/02/2021
11/02/2021,Asturias,83.975,,6.300,4.200,,94.475,77.168,"81,7%",,32.706,,,10/02/2021
11/02/2021,Baleares,42.480,,3.200,4.800,,50.480,38.969,"77,2%",,15.576,,,10/02/2021
11/02/2021,Canarias,93.570,,7.000,8.900,,109.470,86.467,"79,0%",,29.967,,,09/02/2021
11/02/2021,Cantabria,39.345,,2.900,2.400,,44.645,38.217,"85,6%",,16.259,,,10/02/2021
11/02/2021,Castilla y Leon,177.555,,13.500,9.800,,200.855,172.686,"86,0%",,72.444,,,10/02/2021
11/02/2021,Castilla La Mancha,120.375,,9.200,8.300,,137.875,113.637,"82,4%",,38.191,,,10/02/2021
11/02/2021,Cataluña,410.120,,31.400,31.800,,473.320,357.875,"75,6%",,146.079,,,10/02/2021
11/02/2021,C. Valenciana,207.280,,15.700,20.600,,243.580,208.242,"85,5%",,90.760,,,10/02/2021
11/02/2021,Extremadura,74.375,,5.400,4.300,,84.075,73.439,"87,3%",,29.776,,,10/02/2021
11/02/2021,Galicia,128.815,,9.800,11.000,,149.615,117.783,"78,7%",,55.082,,,10/02/2021
11/02/2021,La Rioja,19.955,,1.400,1.300,,22.655,19.428,"85,8%",,8.129,,,10/02/2021
11/02/2021,Madrid,333.375,,25.400,27.700,,386.475,308.047,"79,7%",,128.570,,,10/02/2021
11/02/2021,Murcia,87.305,,6.600,6.200,,100.105,81.470,"81,4%",,29.721,,,10/02/2021
